ACTIVITESPRINCIPAL;DESCR;SECTEURACTIVITES
ABATTAGE BETAIL;ABATTAGE BETAIL;Activités de fabrication
ACTIVITES ANNEXES DE L'AGRICULTURE;ACTIVITES ANNEXES DE L'AGRICULTURE;Agriculture, sylviculture et pêche
ACTIVITES MAL DESIGNEES;ACTIVITES MAL DESIGNEES;mal désigné
ADMINISTRATION PUBLIQUE ET DEFENSE NAT;ADMINISTRATION PUBLIQUE ET DEFENSE NAT;Administration publique et défense
AFFAIRES IMMOBILIERES;AFFAIRES IMMOBILIERES;Activités immobilières
AGENCE DE VOYAGE ET TOURISME;AGENCE DE VOYAGE ET TOURISME;Transport et entreposage
AGRICULTURE-ELEVAGE;AGRICULTURE-ELEVAGE;Agriculture, sylviculture et pêche
ASSOCIATION COMMERCIALE;ASSOCIATION COMMERCIALE;Activités professionnelles, scientifiques et techniques
ASSURANCES;ASSURANCES;Activités financières et d'assurances
AUTRES MINERAUX;AUTRES MINERAUX;Activités extractives
BATIMENT-CONSTRUTION-RAVALEMENT;BATIMENT-CONSTRUTION-RAVALEMENT;Construction
BIBLIOTHEQUES-MUSEES;BIBLIOTHEQUES-MUSEES;Arts, spectacles et loisirs
BLANCHISSERIE;BLANCHISSERIE;Autres activités de services
BOULANGERIE PATISSERIE;BOULANGERIE PATISSERIE;Activités de fabrication
CHARBON;CHARBON;Activités extractives
CHASSE ET PROTECTION DU GIBIER;CHASSE ET PROTECTION DU GIBIER;Agriculture, sylviculture et pêche
COMMERCE DE DETAIL;COMMERCE DE DETAIL;"Commerce de gros et de détail; réparations de véhicules automobiles et de motocycles"
COMMERCE DE DETAIL SANS LIVRAISON;COMMERCE DE DETAIL SANS LIVRAISON;Activités de fabrication
COMMERCE DE GROS ET 1/2 GROS;COMMERCE DE GROS ET 1/2 GROS;"Commerce de gros et de détail; réparations de véhicules automobiles et de motocycles"
COMMERCE HYDROCARBURE STATIONS;COMMERCE HYDROCARBURE STATIONS;"Commerce de gros et de détail; réparations de véhicules automobiles et de motocycles"
DISTRIBUTION PUBLIQUE;DISTRIBUTION PUBLIQUE;Production et distribution d'électricité, de gaz, de vapeur et climatisation
ELECTRICITE GAZ;ELECTRICITE GAZ;Production et distribution d'électricité, de gaz, de vapeur et climatisation
ENSEIGNEMENTS -FORMATION-PROFESSEUR;ENSEIGNEMENTS -FORMATION-PROFESSEUR;Éducation
ETABLISSEMENT SEMI-PUBLICS;ETABLISSEMENT SEMI-PUBLICS;Administration publique et défense
ETABLISSEMENTS FINANCIERS;ETABLISSEMENTS FINANCIERS;Activités financières et d'assurances
EXPLOITATION;EXPLOITATION;Agriculture, sylviculture et pêche
