COMMUNEID;VILLEID;DESIGNATION;CODE
1;1;GOREE;11
2;1;PLATEAU;12
3;1;MEDINA;13
4;1;COLOBANE/FASS/GUEULE TAPEE;14
5;1;FANN/POINT E/ AMITIE;15
6;1;GRAND DAKAR;21
7;1;BISCUITERIE;22
8;1;HLM;23
9;1;HANN/ BEL AIR;24
10;1;SICAP LIBERTE;25
11;1;DIEUPPEUL DERKLE;26
12;1;OUAKAM;31
13;1;N?GOR;32
14;1;YOFF;33
15;1;CA.MERMOZ/ SACRE -COEUR;34
16;1;GRAND YOFF;41
17;1;PATTE D?OIE;42
18;1;PARCELLES ASSAINIES;43
19;1;CAMBERENE;44
36;3;COM. BARGNY;0
37;4;COM. SEBIKOTANE;0
38;5;COM. DIAMNIADIO;0
40;7;COM. SANGALKAM;0
41;8;COM. SENDOU;0
42;9;YENE;1
43;9;BAMBYLOR;2
44;9;TIVAOUANE PEULH-NIAGHA;3
45;10;RUFISQUE CENTRE (NORD);11
46;10;RUFISQUE  EST;12
47;10;RUFISQUE OUEST;13
48;11;GOLF SUD;11
49;11;SAM  NOTAIRE;12
50;11;N?DIAREME LIMAMOULAYE;13
51;11;WAKHINANE NIMZATT;14
52;11;MEDINA GOUNASS;15
62;16;KARTHIACK;3
63;16;MANGAGOULACK;4
64;16;MLOMP;5
65;17;COUBALAN;1
66;17;NIAMONE;2
67;17;OUONCK;3
68;17;TENGHORY;4
69;18;DJINAKI;1
70;18;KAFOUNTINE;2
71;18;KATABA I;3
72;19;COM. OUSSOUYE;0
73;20;DJEMBERING;1
74;20;SANTHIABA MANJACQUE;2
75;21;MLOMP;1
76;21;OUKOUT;2
77;22;COM. ZIGUINCHOR;0
78;23;ADEANE;1
79;23;BOUTOUPA CAMAR;2
80;23;NIAGUIS;3
81;24;ENAMPORE;1
82;24;NYASSIA;2
83;25;COM. BAMBEY;0
84;26;BABA GARAGE;1
85;26;DINGUIRAYE;2
86;26;K. SAMBA KANE;3
87;27;GAWANE;1
88;27;LAMBAYE;2
89;27;N?GOGOM;3
90;27;REFANE;4
91;28;DANGALMA;1
92;28;N?DONDOL;2
93;28;N?GOYE;3
94;28;THIAKAR;4
95;29;COM. DIOURBEL;0
96;30;DANKH  SENE;1
97;30;GADE ESCALE;2
98;30;N?DINDY;3
99;30;KEUR N?GALGOU;4
100;30;TAIBA MOUTOUPHA;5
101;30;TOUBA LAPPE;6
102;30;N?DOULO;1
103;30;N?GOHE;2
104;30;PATAR;3
105;30;TOCKY GARE;4
106;30;TOURE M?BONDE;5
107;30;COM. M?BACKE;0
108;31;DENDEYE GOUYE GUI;1
109;31;DAROU SALAM  TYP;2
110;31;KAEL;3
111;31;MADINA;4
112;31;N?DIOUMANE  T. THIEKENE;5
113;31;TOUBA  M?BOUL;6
114;31;DAROU NAHIM;7
115;31;TAIBA TIECKENE;8
116;32;DALLA N?GABOU;1
117;32;MISSIRAH;2
118;32;N?GHAYE;3
119;32;TOUBA FALL;4
120;32;TOUBA MOSQUEE;5
121;33;SADIO;1
122;33;TA?F;2
123;34;COM. DAGANA;0
124;35;COM. RICHARD-TOLL;0
125;36;COM. ROSSO-SENEGAL;0
126;37;COM. ROSS-BETHIO;0
127;38;COM. GAE;0
128;39;COM. NDOMBO SANDJIRY;0
129;40;MBANE;1
130;40;BOKHOL;2
131;41;DIAMA;1
132;41;NGNITH;2
133;41;RONKH;3
134;42;COM. PODOR;0
135;43;COM. NDIOUM;0
136;44;COM. GOLLERE;0
137;45;COM. NDIANDANE;0
138;46;COM. BODE LAO;0
