CODE_TYPE_CONVENTION;DESCRIPTION
CC1;CC des entreprises d'assurance, 30 juillet 1977
CC10;CCF des Auxiliaires de Transports de l'AOF,10 décembre 1957
CC11;CCNP de Banques et Etabl Financiers du Sénégal,25 avril 19
CC12;CC fixant les RGE de Trav relev de Prof Cin,28 janvier 1960
CC13;CC Indus extrac et de Prosp Min de Féd du Mali,14 avril 196
CC14;CCF des Industries Polygraphiques, 28 septembre 1960
CC15;Les CT dans les Prof Agric Ass au Sénégal,06 septembre 196
CC16;CCF des Industries de la Confection, 10 janvier 1963
CC17;CC Fixant les CGE des dom et gens de maison, janvier 1968
CC18;CC des Journalistes,Techniciens de Com Soc du Sénégal,1973
CC19;CC fixant les Conditions des Officiers et MMMS,1 mars 1976
CC2;CC du transport aérien, 08 novembre 1965
CC20;CCN du Pers de l'Enseignement Privé du Sénégal, 30 mai 20
CC21;CCN des Industries Hôtelières de la République du Sénég
CC22;CC des marins pêcheurs industriels
CC3;CC des industries fédérales du vêtement, 10 janvier 1963
CC4;CC du transport routier professionnel, 17 décembre 1959
CC5;CC de l'industrie du corps gras, 04 juillet 1958
CC6;CC du Commerce, 16 November 1956
CC7;CC des Ouvriers Boulangeries de la Délégation de Dakar et
CC8;CC Fédérale des E/ses du Bât et des Trav Pub,06 juillet 1
CC9;CCF des Indust de Mécanique Génér de l'AOF,08 octobre 195
NCATI;CC nationale des industries textiles
NCA1;CC pour les industries alimentaires, 19 juillet 1958
NCA2;CC Inter professionnelle du Sénégal, 27 mai 1982
NCA3;CC des industries chimiques, 23 juillet 1958
