SECTEURACTIVITES;DESCR
Activité des ménages privés employant du personnel domestique;Activités des ménages privés employant du personnel domestique
Activité mal désignée;Activité mal désignée
Activités de fabrication;Activités de fabrication
Activités des organisations et organismes extraterritoriaux;Activités des organisations et organismes extraterritoriaux
Activités d'hébergement et de restauration;Activités d'hébergement et de restauration
Activités extractives;Activités extractives
Activités financières et d'assurances;Activités financières et d'assurances
Activités immobilières;Activités immobilières
Activités professionnelles, scientifiques et techniques;Activités professionnelles, scientifiques et techniques
Administration et activités d'appui administratif;Administration et activités d'appui administratif
Administration publique et défense;Administration publique et défense
Agriculture, sylviculture et pêche;Agriculture, sylviculture et pêche
Arts, spectacles et loisirs;Arts, spectacles et loisirs
Autres activités de services;Autres activités de services
Commerce de gros et de détail;réparations de véhicules automobiles et de motocycles
Commerce de gros et de détail;réparations de véhicules automobiles et de motocycles
Construction;Construction
Éducation;Éducation
Information et communication;Information et communication
Production et distribution d'électricité, de gaz, de vapeur et climatisation;Production et distribution d'électricité, de gaz, de vapeur et climatisation
Santé et activités d'action sociale;Santé et activités d'action sociale
Transport et entreposage;Transport et entreposage
