VILLEID;DESIGNATION;DEPARTEMENTID;CODE
1;VILLE DE DAKAR;1;301
2;VILLE DE PIKINE;2;301
3;COM. BARGNY;7;101
4;COM. SEBIKOTANE;7;102
5;COM. DIAMNIADIO;7;103
51;COM. AERE LAO;5;110
52;COM. PETE;5;111
53;COM. WALALDE;5;112
54;CAS-CAS;5;201
55;SALDE;5;202
56;THILLE BOUBACAR;5;203
57;GAMADJI SARE;5;204
58;COM. SAINT LOUIS;4;101
59;COM. M'PAL;4;102
60;RAO;4;201
61;COM. BAKEL;52;101
62;COM. DIAWARA;52;102
63;COM .KIDIRA;52;103
64;KENIEBA;52;201
65;BELE;52;202
66;MOUDERY;52;203
67;COM. TAMBACOUNDA;55;101
68;KOUSSANAR;55;201
69;MAKACOULIBANTANG;55;202
70;MISSIRAH;55;203
71;COM. GOUDIRY;53;101
72;COM. KOTHIARY;53;102
73;BALA;53;201
74;BOYNGUEL BAMBA;53;202
75;DIANKE MAKHA;53;203
76;KOULOR;53;204
77;COM. KOUMPENTOUM;54;101
78;COM. MALEM NIANI;54;102
79;BAMBA  THIALENE;54;201
80;KOUTHIABA WOLOF;54;202
81;COM. KAOLACK;32;101
82;COM. KAHONE;32;102
83;COM. GANDIAYE;32;103
84;COM. NDOFFANE;32;104
85;COM. SIBASSOR;32;105
86;NDIEDIENG;32;201
87;KOUMBAL;32;202
88;NGOTHIE;32;203
89;COM. NIORO;33;101
90;COM. KEUR MADIABEL;33;102
91;MEDINA-SABAKH;33;201
92;PAOSKOTO;33;202
93;WACK-NGOUNA;33;203
94;COM. GUINGUINEO;31;101
95;COM. FASS;31;102
96;COM. MBOSS;31;103
97;MBADAKHOUNE;31;201
98;NGUELOU;31;202
99;COM. JOAL- FADIOUTH;9;101
100;COM. M'BOUR;9;102
101;COM. GUEKOKH;9;103
102;COM. THIADIAYE;9;104
103;COM. N'GAPAROU;9;105
104;COM. POPOGUINE;9;106
105;COM. SALY PORTUDAL;9;107
106;COM. SOMONE;9;108
107;FISSEL;9;201
108;SESSENE;9;202
109;SINDIA;9;203
110;COM. KHOMBOLE;8;101
111;COM. POUT;8;102
112;COM. CAYAR;8;103
113;NOTTO;8;201
114;THIENABA;8;202
115;KEUR MOUSSA;8;203
116;VILLE DE THIES;8;301
117;COM. MEKHE;10;101
118;COM. TIVAOUANE;10;102
119;COM. M'BORO;10;103
120;MEOUANE;10;201
121;MERINA-DAKHAR;10;202
122;NIAKHENE;10;203
123;PAMBAL;10;204
124;COM. KEBEMER;40;101
125;COM. GUEOUL;40;102
126;DAROU MOUSTY;40;201
127;NDANDE;40;202
128;SAGATTA GUETH;40;203
129;COM. LINGUERE;41;101
130;COM. DAHRA;41;102
131;COM. MBEULEUKHE;41;103
132;BARKEDJI;41;201
133;DODJI;41;202
134;YANG YANG;41;203
135;SAGATTA DJOLOF;41;204
136;COM. LOUGA;42;101
137;COM. NDIAGNE;42;102
138;COKI;42;201
139;K EUR MOMAR SARR;42;202
140;MBEDIENE;42;203
141;SAKAL;42;204
142;COM. FATICK;24;101
143;COM. DIOFIOR;24;102
144;COM. DIAKHAO;24;103
145;NDIOB;24;201
146;FIMELA;24;202
147;NIAKHAR;24;203
148;TATTAGUINE;24;204
149;COM. FOUNDIOUGNE;25;101
150;COM. SOKONE;25;102
151;COM. PASSY;25;103
152;COM. KARANG POSTE;25;104
153;COM. SOUM;25;105
154;DJILOR;25;201
155;NIODIOR;25;202
156;TOUBACOUTA;25;203
157;COM. GOSSAS;26;101
158;COLOBANE;26;201
159;OUADIOUR;26;202
160;COM. KOLDA;37;101
161;COM. DABO;37;102
162;COM. SALIKEGNE;37;103
163;COM. SARE YOBA DIEGA;37;104
164;DIOULACOLON;37;201
165;MAMPATIM;37;202
166;SARE BIDJI;37;203
167;COM. VELINGARA;39;101
168;COM. DIAOUBE- KABENDOU;39;102
169;COM. KOUNKANE;39;103
170;BONCONTO;39;201
171;PAKOUR;39;202
172;SARE COLY SALLE;39;203
