BUSINESS_GROUP_ID;ORGANIZATION_ID;DESCR_AGENCE_EBS;CODE_AGENCE_PREST;DESCR_AGENCE_PREST;CODE_AGENCCE_PSRM;DESCR_AGENCE_PSRM;CODE_SITE
82;381;CSS_UO_DIOURBEL;1381;Agence CSS DIOURBEL;C_DI;Agence CSS DIOURBEL;40
82;382;CSS_UO_KAOLACK;1382;Agence CSS KAOLACK;C_KA;Agence CSS KAOLACK;60
82;383;CSS_UO_KOLDA;1383;Agence CSS KOLDA;C_KO;Agence CSS KOLDA;90
82;384;CSS_UO_LOUGA;1384;Agence CSS LOUGA;C_LG;Agence CSS LOUGA;30
82;385;CSS_UO_MATAM;1385;Agence CSS MATAM;C_MA;Agence CSS MATAM;55
82;386;CSS_UO_MBOUR;1386;Agence CSS MBOUR;C_MB;Agence CSS MBOUR;21
82;387;CSS_UO_PIKINE;1387;Agence CSS PIKINE GUEDIAWAYE;C_GY;Agence CSS PIKINE GUEDIAWAYE;11
82;388;CSS_UO_PLATEAU;1388;Agence CSS Plateau;C_PL;Agence CSS Plateau;14
82;520;CSS_UO_PODOR;1520;Agence CSS Podor;;;
82;389;CSS_UO_PORT;1389;Agence CSS Port;C_PT;Agence CSS Port;15
82;390;CSS_UO_RICHARD TOLL;1390;Agence CSS RICHARD TOLL;C_RT;Agence CSS RICHARD TOLL;51
82;391;CSS_UO_RUFISQUE;1391;Agence CSS RUFISQUE;C_RF;Agence CSS RUFISQUE;12
82;392;CSS_UO_SAINT LOUIS;1392;Agence CSS SAINT LOUIS;C_SL;Agence CSS SAINT LOUIS;50
82;141;CSS_UO_SIEGE;1141;Agence CSS Siège;C_SG;Agence CSS Siège;10
82;393;CSS_UO_TAMBACOUNDA;1393;Agence CSS TAMBACOUNDA;C_TB;Agence CSS TAMBACOUNDA;70
82;394;CSS_UO_THIES;1394;Agence CSS THIES;C_TH;Agence CSS THIES;20
82;395;CSS_UO_VDN;1395;Agence CSS VDN;C_VD;Agence CSS VDN;17
82;396;CSS_UO_WILTORD;1396;Agence CSS WILTORD;C_WI;Agence CSS WILTORD;16
82;397;CSS_UO_ZIGUINCHOR;1397;Agence CSS ZIGUINCHOR;C_ZI;Agence CSS ZIGUINCHOR;80
81;398;IPRES_UO_DIOURBEL;1398;Agence IPRES DIOURBEL;I_DI;Agence IPRES DIOURBEL;40
81;413;IPRES_UO_FATICK;1413;Agence IPRES FATICK;I_FA;Agence IPRES FATICK;69
81;410;IPRES_UO_KAOLACK;1410;Agence IPRES KAOLACK;I_KA;Agence IPRES KAOLACK;60
81;415;IPRES_UO_KEDOUGOU;1415;Agence IPRES KEDOUGOU;I_KG;Agence IPRES KEDOUGOU;79
81;417;IPRES_UO_KOLDA;1417;Agence IPRES KOLDA;I_KO;Agence IPRES KOLDA;90
81;406;IPRES_UO_LOUGA;1406;Agence IPRES LOUGA;I_LG;Agence IPRES LOUGA;30
81;409;IPRES_UO_MATAM;1409;Agence IPRES MATAM;I_MA;Agence IPRES MATAM;55
81;405;IPRES_UO_MBOUR;1405;Agence IPRES MBOUR;I_MB;Agence IPRES MBOUR;21
81;399;IPRES_UO_PIKINE;1399;Agence IPRES PIKINE;I_PK;Agence IPRES PIKINE;11
81;402;IPRES_UO_PLATEAU;1402;Agence IPRES Plateau;I_PL;Agence IPRES Plateau;14
81;411;IPRES_UO_PODOR;1411;Agence IPRES PODOR;I_PO;Agence IPRES PODOR;59
81;403;IPRES_UO_POINT E;1403;Agence IPRES Point E;I_PE;Agence IPRES Point E;19
81;408;IPRES_UO_RICHARD TOLL;1408;Agence IPRES RICHARD TOLL;I_RT;Agence IPRES RICHARD TOLL;51
81;400;IPRES_UO_RUFISQUE;1400;Agence IPRES RUFISQUE;I_RF;Agence IPRES RUFISQUE;12
81;407;IPRES_UO_SAINT LOUIS;1407;Agence IPRES SAINT LOUIS;I_SL;Agence IPRES SAINT LOUIS;50
81;121;IPRES_UO_SIEGE;1121;Agence IPRES Siège;I_SG;Agence IPRES Siège;10
81;414;IPRES_UO_TAMBACOUNDA;1414;Agence IPRES TAMBACOUNDA;I_TB;Agence IPRES TAMBACOUNDA;70
81;404;IPRES_UO_THIES;1404;Agence IPRES THIES;I_TH;Agence IPRES THIES;20
81;416;IPRES_UO_ZIGUINCHOR;1416;Agence IPRES ZIGUINCHOR;I_ZI;Agence IPRES ZIGUINCHOR;80
