code,name
1,S.N.C.F.(chemin de fer)
3,P.A.D (port autonome)
4,O.P.C.E. (poste)
9,COSEC
10,SNHLM
11,CSS(Acc trav et Pres fam)
12,CAISSE SECURITE SOCIALE
13,ONAC
14,COUD
15,I S B E A
17,I N S E P S
18,I N D R
21,S A E D
27,C P S P (prix)
28,C P S P (riz)
31,I T A
32,MSAD (manufact arts deco)
33,I S R A
34,C E R E E Q
37,C N Q P
40,CNTDS  (Sorano)
41,O R T S
42,A P S
36,SOMIVAC
51,C E S A G
85,SONATEL
86,MAIRIE THIES
90,MAIRIE DAKAR
91,MAIRIE PIKINE
92,MAIRIE RUFISQUE/BARGNY
93,COMMUNAUTE URBAINE DAKAR
94,SINORG
95,B N D S
96,UNIVERITE
97,UNIVERSITE PROFESSEURS
99,E N S U T
98,UNIVERSITE ST-LOUIS
