code_pays;code_localite ;localite
20;0;EGYPTE
27;0;AFRIQUE DU SUD
30;0;GRECE
31;0;PAYS BAS
32;0;BELGIQUE
33;0;FRANCE
34;0;ESPAGNE
36;0;HONGRIE
37;0;ALLEMAGNE
38;0;YOUGOSLAVIE
39;0;ITALIE
40;0;ROUMANIE
41;0;SUISSE
42;0;TCHECOSLOVAQUIE
43;0;AUTRICHE
44;0;ROYAUMES-UNIS (R-U)
45;0;DANEMARK(SAUF GROENLAND)
46;0;SUEDE
47;0;NORVEGE
48;0;POLOGNE
49;0;ALLEMAGNE R F A
51;0;PEROU
52;0;MEXIQUE
53;0;CUBA
54;0;ARGENTINE
55;0;BRESIL
56;0;CHILI
57;0;COLOMBIE
58;0;VENEZUELA
60;0;MALAISIE
61;0;AUSTRALIE
62;0;INDONESIE
63;0;PHILIPPINES
64;0;NOUVELLE ZELANDE
65;0;SINGAPOUR
66;0;THAILANDE
81;0;JAPON
82;0;COREE (REP DE)
84;0;VIETNAM REPUBLIQUE
86;0;CHINE (REP POP)
90;0;TURQUIE
91;0;INDE
92;0;PAKISTAN
93;0;AFGHANISTAN
94;0;SRI LANKA
95;0;BIRMANIE (MYANMA)
98;0;IRAN
99;0;REGULARISATION
211;898;SAM NOTAIRE
212;0;MAROC
213;0;ALGERIE
216;0;TUNISIE
218;0;LIBYE
220;0;GAMBIE
221;0;SENEGAL
221;1;BIGNONA
221;2;DIOULOULOU C P
221;3;TAMBACOUNDA
221;4;DOMBONDIR
221;5;KABADIO
221;6;DJINIAKI
221;7;BADIANA
221;8;KABILINE
221;9;BITIBITI
221;10;KAFOUNTINE
221;11;DIANNAH
221;12;NIOMOUNE
221;13;SINDIAN C P
221;14;DJIBIDIONE
221;15;OULAMPANE
221;16;BAILA
221;17;TALLOUM
221;18;MAMPALAGO
221;19;KANDIADIOU
221;20;BOUGOUTOUB DJINOUBOR
221;21;BALLA BASSENE
221;22;DIACOYE BANGA
221;23;DJIGOUDIERE
221;24;KABOUNGOUTE
221;25;MEDJIDJE
221;26;OUEL KALIR
221;27;TENDOUCK C P
221;28;BALINGORE
221;29;DIEGOUNE
221;30;KARTIACK
221;31;MLOMP
221;32;THIONCK ESSYL
221;33;BAGAYA
221;34;KAGNOBON
221;35;DIANKI
221;36;BASSIRE
221;37;THIOBON
221;38;MLOMP
