Année,Coefficient,Date d'effet,Date reval,Plancher,Plafond
1984,1.03,1-Apr-1990,1-Apr-1990,"471551","1886204"
1985,1.03,1-Apr-1990,1-Apr-1990,"485697","1942788"
1989,1.04,1-Apr-1990,1-Apr-1990,"505124","2020496"
1990,1.04,1-Apr-1990,1-Apr-1990,"525328","2101312"
1991,1.06,1-Jan-1993,27-Dec-1993,"556847","2227388"
1992,1.06,1-Jan-1993,27-Dec-1993,"590257","2361028"
1993,1.06,1-Jan-1993,27-Dec-1993,"625672","2502688"
1994,1.06,1-Jan-1995,12-Apr-1995,"663212","2652848"
1995,1.04,1-Jan-1996,16-Apr-1996,"689740","2758960"
1997,1.01,1-Jan-1998,9-Apr-1998,"696637","2786548"
1997,1.05,1-Jan-1998,4-May-1998,"731468","2925872"
1999,1.06,1-Sep-1999,24-Feb-2000,"775356","3101424"
2001,1.05,1-Jan-2001,18-Sep-2001,"814123","3256492"
2002,1.05,1-Jan-2003,16-Apr-2004,"854829","3419316"
2005,1.05,1-Jan-2005,18-Jul-2005,"897570","3590280"
2006,1.06,1-Jan-2006,16-Mar-2007,"951424","3805696"
2008,1.08,1-Jan-2008,18-Feb-2009,"1027537","4110148"
2010,1.1,1-Jan-2010,6-Apr-2011,"1130290","4521160"
2016,1.1,1-Jan-2016,12-Aug-2016,"1243319","4973276"
2017,1.1,1-Jan-2017,15-Oct-2019,"1367650","5470600"
