
age,prix
1,10
2,10
3,10
4,9.2
5,8.6
6,8
7,7.4
8,6.7
9,6
10,5.3
11,4.5
12,3.7
13,2.8
14,1.9
15,1
16,17.903
17,17.815
18,17.733
19,17.656
20,17.582
21,17.511
22,17.439
23,17.364
24,17.284
25,17.196
26,17.1
27,16.996
28,16.884
29,16.764
30,16.639
31,16.508
32,16.37
33,16.227
34,16.076
35,15.919
36,15.754
37,15.582
38,15.404
39,15.219
40,15.029
41,14.833
42,14.63
43,14.419
44,14.201
45,13.975
46,13.741
47,13.5
48,13.255
49,13.006
50,12.754
51,12.501
52,12.245
53,11.987
54,11.725
55,11.459
56,11.187
57,10.91
58,10.068
59,10.34
60,10.047
61,9.749
62,9.446
63,9.139
64,8.829
65,8.517
66,8.204
67,7.892
68,7.581
69,7.272
70,6.967
71,6.665
72,6.369
73,6.078
74,5.791
75,5.519
76,5.251
77,4.993
78,4.744
79,4.504
80,4.274
